,datetime,open,high,low,close,volume
950,2025-03-18 19:00:00,166.86,167.84,166.85,167.6,14.4017
951,2025-03-18 19:30:00,167.8,169.72,167.73,169.7,27.238
952,2025-03-18 20:00:00,169.66,169.72,168.74,168.91,41.0194
953,2025-03-18 20:30:00,168.88,169.72,168.58,169.7,15.9828
954,2025-03-18 21:00:00,169.7,170.24,169.23,169.3,32.093
955,2025-03-18 21:30:00,169.29,169.35,168.73,168.93,14.2479
956,2025-03-18 22:00:00,168.91,169.13,168.48,168.48,30.6418
957,2025-03-18 22:30:00,168.48,169.02,168.21,168.52,22.9508
958,2025-03-18 23:00:00,168.55,170.06,168.5,169.83,62.4099
959,2025-03-18 23:30:00,169.81,170.06,168.98,170.06,32.4809
960,2025-03-19 00:00:00,170.06,172.23,169.83,172.12,57.983
961,2025-03-19 00:30:00,172.11,173.25,172.11,173.02,63.109
962,2025-03-19 01:00:00,173.0,173.25,171.09,171.09,45.2656
963,2025-03-19 01:30:00,171.15,171.76,170.29,170.31,30.9153
964,2025-03-19 02:00:00,170.27,171.03,169.79,170.93,21.3266
965,2025-03-19 02:30:00,170.95,171.77,170.57,171.77,16.738
966,2025-03-19 03:00:00,171.76,172.26,171.44,171.51,24.9025
967,2025-03-19 03:30:00,171.45,172.71,171.45,172.71,49.8759
968,2025-03-19 04:00:00,172.71,172.8,170.61,170.62,28.9307
969,2025-03-19 04:30:00,170.62,171.56,170.61,171.28,36.1892
970,2025-03-19 05:00:00,171.28,171.48,170.69,171.37,20.3567
971,2025-03-19 05:30:00,171.34,171.77,171.07,171.07,22.1147
972,2025-03-19 06:00:00,171.14,171.59,170.82,170.83,69.46
973,2025-03-19 06:30:00,170.86,171.14,170.61,170.79,41.1427
974,2025-03-19 07:00:00,170.8,171.17,170.5,171.03,21.099
975,2025-03-19 07:30:00,171.14,171.38,169.97,169.98,24.3182
976,2025-03-19 08:00:00,169.98,171.27,169.98,171.27,23.4575
977,2025-03-19 08:30:00,171.26,171.92,171.26,171.82,18.2823
978,2025-03-19 09:00:00,171.92,172.23,171.17,172.23,24.9995
979,2025-03-19 09:30:00,172.23,172.57,171.48,172.29,31.0016
980,2025-03-19 10:00:00,172.24,172.63,171.7,172.13,26.9378
981,2025-03-19 10:30:00,172.1,175.39,172.1,175.0,161.8116
982,2025-03-19 11:00:00,175.02,180.89,175.02,179.25,201.6265
983,2025-03-19 11:30:00,179.25,181.31,178.87,180.61,161.6249
984,2025-03-19 12:00:00,180.69,181.07,178.68,178.68,73.0547
985,2025-03-19 12:30:00,178.68,178.89,177.15,177.63,76.4281
986,2025-03-19 13:00:00,177.63,179.79,176.75,177.91,161.5739
987,2025-03-19 13:30:00,177.64,179.96,177.35,179.16,169.0398
988,2025-03-19 14:00:00,179.49,180.89,178.79,178.79,78.4937
989,2025-03-19 14:30:00,178.8,181.12,178.1,181.01,67.2407
990,2025-03-19 15:00:00,180.92,182.16,180.7,181.8,91.2303
991,2025-03-19 15:30:00,181.76,182.34,181.22,181.8,81.9387
992,2025-03-19 16:00:00,181.82,182.34,180.61,180.77,103.4102
993,2025-03-19 16:30:00,180.76,181.57,180.16,180.98,79.1574
994,2025-03-19 17:00:00,180.9,181.07,180.02,180.2,61.9683
995,2025-03-19 17:30:00,180.2,180.21,178.01,178.55,97.2054
996,2025-03-19 18:00:00,177.97,180.93,176.31,177.51,130.6085
997,2025-03-19 18:30:00,177.65,182.27,177.62,181.21,100.697
